program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,2.023076923076923,1.9076923076923078,1.8346153846153845,1.4032051282051279,1.5807692307692307,1.5326923076923078,1.876923076923077,1.15
bv,19,1.9444444444444444,2.8333333333333335,2.625,2.0555555555555554,1.9444444444444444,2.25,2.5555555555555554,1.0833333333333333
ising,26,1.62,1.02,1.26,0.88,1.09,1.1199999999999999,0.8839495174104967,0.6119955973843004
knn,25,1.4880952380952381,1.5357142857142858,1.5714285714285714,1.2003968253968256,1.2738095238095237,1.306547619047619,1.4404761904761905,1.0089285714285714
multiplier,15,2.2387387387387387,2.108108108108108,2.02027027027027,1.6355105105105103,1.7139639639639639,1.670045045045045,2.045045045045045,1.2736486486486487
qec9xz,17,3.125,3.25,2.625,2.421875,2.453125,2.4609375,3.21875,1.984375
qft,18,1.7156862745098038,1.50653594771242,1.2696078431372548,1.1342592592592604,1.1683006535947713,1.1756535947712417,1.438062056996464,0.7153929542092716
qpeexact,16,2.526923076923077,2.200641025641025,1.8057692307692308,1.7147435897435952,1.7038461538461538,1.7185897435897444,2.1531292255108174,1.1547498262845552
qram,20,2.4307692307692306,2.2615384615384615,2.2846153846153845,1.895512820512819,1.85,1.873076923076923,2.3076923076923075,1.4326923076923077
sat,11,1.9801587301587302,1.8134920634920635,1.818452380952381,1.4424603174603168,1.5932539682539681,1.4851190476190477,1.8095238095238095,1.130952380952381
swap_test,25,1.5476190476190477,1.3928571428571428,1.5625,1.2867063492063495,1.2738095238095237,1.2380952380952381,1.4880952380952381,0.9910714285714286
wstate,27,1.4038461538461537,1.9807692307692308,1.8894230769230769,1.3333333333333333,1.5,1.5625,2.0384615384615383,1.2307692307692308
