program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.7727272727272727,1.625,1.78125,1.6249999682246707,1.142045422770125,1.3655303030303036,1.4261363636363635,1.3835227272727273
bv,19,2.111111111111111,2.111111111111111,1.9583333333333333,2.111111111111111,1.3055555555555556,1.6851851851851853,1.6388888888888888,1.7083333333333333
gcm,13,1.4705882352941178,1.1696078431372547,1.375,1.1592921725971317,0.8236758857730566,0.9967320261437929,1.1519607843137254,1.0062091503267983
ising,26,6.25,5.916666666666667,5.25,5.8572565851638885,3.3572565851638885,4.541666666666666,4.5,4.666666666666667
knn,25,2.193548387096774,2.0080645161290325,2.0201612903225805,2.008064510491474,1.2782257867201583,1.6034946236559144,1.6612903225806452,1.653225806451613
multiplier,15,2.7593984962406015,2.68796992481203,2.5093984962406015,2.6879699221839957,1.6503759293374851,2.115914786967417,2.06390977443609,2.169172932330827
qec9xz,17,3.8333333333333335,3.8333333333333335,3.375,3.8333333333333335,2.25,2.9583333333333335,2.8333333333333335,3.0208333333333335
qft,18,3.696969696969697,3.1287878787878793,2.8295454545454546,2.909886195339208,1.5186859653963152,2.3522727272727275,2.5681818181818183,2.4305555555555562
qpeexact,16,2.9767441860465116,2.6395348837209305,2.258720930232558,2.5316935597400483,1.3159044865927274,1.9660852713178292,2.0348837209302326,2.0387596899224807
qram,20,3.0128205128205128,2.83974358974359,2.7115384615384617,2.8397435673379086,1.7692307476784161,2.2457264957264953,2.2435897435897436,2.301282051282051
sat,11,1.8431372549019607,1.6887254901960784,1.8051470588235294,1.688725477508303,1.1507352822865597,1.3978758169934635,1.4607843137254901,1.4178921568627452
swap_test,25,2.193548387096774,2.0080645161290325,2.0201612903225805,2.008064510491474,1.2782257867201583,1.6034946236559144,1.6612903225806452,1.653225806451613
wstate,27,1.9285714285714286,1.9285714285714286,2.25,1.9285714285714286,1.5,1.69047619047619,1.6428571428571428,1.7142857142857142
