program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,2.123076923076923,2.0307692307692307,2.001923076923077,1.6192307692307684,1.6538461538461537,1.8057692307692308,2.0,1.271153846153846
bv,19,2.6666666666666665,2.111111111111111,2.125,1.7222222222222223,1.8333333333333333,1.9861111111111112,2.5555555555555554,1.4166666666666667
ising,26,1.0,0.38333333333333336,0.75,0.38333333333333336,0.75,0.38333333333333336,0.31716772088469747,0.3171677208846974
knn,25,1.880952380952381,1.880952380952381,1.4642857142857142,1.0357142857142858,1.0714285714285714,1.0803571428571428,1.2261904761904763,1.2589285714285714
multiplier,15,2.6531531531531534,2.6171171171171173,2.4425675675675675,2.0022522522522537,2.036036036036036,2.081081081081081,2.5,1.4864864864864864
qec9xz,17,3.75,3.625,2.90625,2.6666666666666665,2.65625,2.6796875,3.4375,1.9375
qft,18,1.4934640522875817,1.443355119825709,1.1200980392156863,1.0476579520697171,0.9967320261437909,1.1013071895424837,1.4264705633026322,0.7189542358996821
qpeexact,16,3.023076923076923,2.7826923076923054,2.356730769230769,1.9673076923076993,1.9826923076923078,2.0516025641025646,2.6926649827223557,1.394461646446815
qram,20,3.246153846153846,3.0076923076923077,2.8153846153846156,2.4493589743589745,2.3653846153846154,2.4884615384615385,2.9615384615384617,1.8076923076923077
sat,11,2.2777777777777777,2.0634920634920637,2.0357142857142856,1.6329365079365086,1.7896825396825398,1.681547619047619,2.0634920634920637,1.2678571428571428
swap_test,25,2.0595238095238093,1.380952380952381,2.017857142857143,1.1041666666666667,1.1428571428571428,1.4732142857142858,1.2261904761904763,0.8928571428571429
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
